abandon	v. 遗弃；离开；放弃；终止；陷入n. 放任，狂热
famine	n. 饥荒；饥饿，奇缺
famous	adj. 著名的；极好的，非常令人满意的
fan	n.扇子,鼓风机,风扇,迷,狂热者,爱好者vt.煽动,刺激,扇,吹拂vi.飘动,成扇形散开
fancy	adj.奇特的,异样的vt.想象,设想,认为,爱好,自负n.爱好,迷恋,想象力
fantastic adj. 1. 极好的，美妙的 2. 不切实际的，异想天开的，古怪的
fantasy	n. 幻想；白日梦；幻觉adj. 虚幻的vt. 空想；想像vi. 耽于幻想； 奏幻想曲（等于phantasy）
far	adv. 很；遥远地；久远地；到很远的距离；到很深的程度adj. 远的；久远的n. 远方n. (Far)人名；(德、西、塞)法尔
fare	n.费用,旅客,食物vi.遭遇,进展,进步,经营,过活
farewell	n. 告别，辞别；再见；再会int. 别了！（常含有永别或不容易再见面的意思）；再会！adj. 告别的
farm	n.农场,农庄,农田vt.耕种vi.种田,务农,经营农场,从事畜牧
farmer	n. 农夫，农民n. （Farmer）（英）法默；（法）法尔梅；（西）法梅尔（人名）
farther	adv. 更远地；此外；更进一步地adj. 进一步的；更远的（far的比较级）
fascinate	v. 使着迷，使神魂颠倒；（尤指蛇）以眼神震慑（人或动物），使无法动弹
fashion	n. 时尚；时装；样式；方式；时髦人物vt. 使用；改变；做成…的形状
fashionable	adj. 流行的；时髦的；上流社会的
fast	a.快的；偏快的 ad.快
fasten	vt. 使固定；集中于；扎牢；强加于vi. 扣紧；抓住；集中注意力n.
fat	fæt/ n. 脂肪,肥肉 a. 肥胖的
fatal	adj. 致命的；重大的；毁灭性的；命中注定的n. (Fatal)人名；(葡
fate	n. 命运vt. 注定n. (Fate)人名；(英)费特
father	n. 父亲，爸爸；神父；祖先；前辈vt. 发明，创立；当…的父亲
father-in-law 1. n.岳父 2. 公公
fatigue	ːɡ/ n. 疲劳，疲乏；杂役vt. 使疲劳；使心智衰弱vi. 疲劳adj. 疲劳的
fault	n.故障；[地质] 断层；错误；缺点；毛病；（网球等）发球失误vi. 弄错；产生断层vt. （通常用于疑问句或否定句）挑剔
faulty	/ adj. 有错误的；有缺点的
favour	n. 偏爱；赞同；善行vt. 赞成；喜爱；有助于
favourable	adj. 有利的，顺利的；赞成的
favourite	adj. 特别受喜爱的n. 特别喜爱的人（或物）
fax	n. 传真机；传真信件；传真v. 传真（信件或文档）；用传真与（某人）联系n. (Fax) （瑞、美、巴、德）法克斯（人名）
fear	n. 害怕；恐惧；敬畏；担心vt. 害怕；敬畏；为…担心vi. 害怕；敬畏；为…担心
fearful	adj. 可怕的；担心的；严重的
feasible	adj. 可行的；可能的；可实行的
feast	n. 筵席，宴会；（感官）享受；节日v. 尽情享用，饱餐；宴请；赴宴
feather	n. 羽毛vt. 用羽毛装饰vi. 长羽毛n. (Feather)人名；(英)费瑟
feature	n. 特色，特征；容貌；特写或专题节目vi. 起重要作用vt. 特写；以
February	n. 二月
federal	adj. 联邦的；同盟的；联邦政府的； 联邦制的adv. 联邦政府地n.
federation	n. 联合；联邦；联盟；联邦政府
fee	n. 费用；酬金；小费vt. 付费给……n. (Fee)人名；(英、柬)菲
feeble	adj. 微弱的，无力的；虚弱的；薄弱的
feed	n.饲养,饲料,(动物或婴儿的)一餐vt.喂养,饲养,放牧,靠...为生vi. 吃东西,流入
feedback	n. 反馈；成果，资料；回复
feel	vt. 感觉；认为；触摸；试探vi. 觉得；摸索n. 感觉；触摸
feeling	n. 感觉，触觉；感情，情绪；同情adj. 有感觉的；有同情心的；富于感情的v. 感觉；认为（feel的现在分词）；触摸
fellow	n.人,家伙,伙伴,学会特别会员,朋友,同事adj.同伴的,同事的,同道的
fellowship	n. 团体；友谊；奖学金；研究员职位
female	adj. 女性的；雌性的n. 女人；[动] 雌性动物
feminine	adj. 女性的；妇女（似）的；阴性的；娇柔的
fence	n. 栅栏；围墙；剑术vt. 防护；用篱笆围住；练习剑术vi. 击剑；搪塞；围以栅栏；跳过栅栏
ferry	n.渡船；摆渡；渡口vt. （乘渡船）渡过；用渡船运送；空运vi. 摆渡；来往行驶n. (Ferry)人名；(法、德、英、印尼)费里
fertile	adj. 富饶的，肥沃的；能生育的
fertilize	vt. 使受精；使肥沃
fertilizer	n. [肥料] 肥料；受精媒介物；促进发展者
festival	n. 节日；庆祝，纪念活动；欢乐adj. 节日的，喜庆的；快乐的
fetch	vt. 取来；接来；到达；吸引vi. 拿；取物；卖得n. 取得；诡计
fever	n. 发烧，发热；狂热vt. 使发烧；使狂热；使患热病vi. 发烧；狂热；患热病
few	adj. 很少的；几乎没有的pron. 很少n. 很少数n. (Few)人名；(英) 菲尤
fibre	n. 纤维；纤维制品
fiction	n. 小说；虚构，编造；谎言
field	n.原野,旷野,领域,(一块)田地,牧场,域,战场,运动场vt.把(谷物等)
fierce	adj. 凶猛的；猛烈的；暴躁的n. （Fierce）（英）菲尔斯（人名）
fifteen	ːn/ n. 十五；十五个；十五人组成的橄榄球队adj. 十五的num. 十五
fifth	adj. 第五的；五分之一的n. 第五；五分之一num. 第五
fifty	n. 五十；五十个；编号为50的东西adj. 五十的；五十个的；众多的
fight	n.打架,战斗,斗志vi.打仗,搏斗,对抗,打架vt.与...打仗,指挥战斗, 反对...提案
figure	n. 数字；人物；图形；价格；（人的）体形；画像vi. 计算；出现； 扮演角色vt. 计算；认为；描绘；象征
file	n. 文件；档案；文件夹；锉刀vt. 提出；锉；琢磨；把…归档vi. 列队行进；用锉刀锉n. (File)人名；(匈、塞)菲莱
fill	vt. 装满，使充满；满足；堵塞；任职vi. 被充满，膨胀n. 满足；填满的量；装填物n. (Fill)人名；(德、俄、匈)菲尔
film	n. 电影；薄膜；胶卷；轻烟vt. 在…上覆以薄膜；把…拍成电影vi. 摄制电影；生薄膜；变得朦胧
filter	n.过滤器；滤波器；筛选程序；分流指示灯v. 过滤；渗透；用过滤
final	adj. 最终的；决定性的；不可更改的n. 决赛；期末考试；当日报纸的末版
finally	adv. 最后；终于；决定性地
finance	n. 财政，财政学；金融vt. 负担经费，供给…经费vi. 筹措资金n.
financial	adj. 金融的；财政的，财务的
find	vt. 查找，找到；发现；认为；感到；获得vi. 裁决n. 发现n.
finding	n. 发现；裁决；发现物v. 找到；感到（find的ing形式）；遇到
fine	adj.好的；优良的；细小的，精美的；健康的；晴朗的n. 罚款vt.
finger	n. 手指；指针，指状物vt. 伸出；用手指拨弄vi. 用指触摸；拨弄n.
finish	n.完成,结束,磨光,末道漆,完美vt.完成,结束,用完,毁掉,使完美vi. 结束,终结,停止,终止
finite	adj. 有限的；限定的n. 有限之物
fire	n.火；火灾；炮火；炉火；热情；激情；磨难vt. 点燃；解雇；开除；使发光；烧制；激动；放枪vi. 着火；射击；开枪；激动；烧火
fireman	n. 消防队员；救火队员；锅炉工n. (Fireman)人名；(英)法尔曼
firm	n.商行，商号，公司
first	adv.首先,最初,第一(列举条目等用),优先adj.第一的 num.第一
fish	n.鱼,鱼肉,鱼类,接合板vt.钓,钓鱼,查出,用接合板连接vi.捕鱼,钓鱼,用钩捞取,间接探听,拉摸索寻找
fisherman	n. 渔夫；渔人
fist	n. 拳，拳头；〈口〉笔迹；掌握；[印]指标参见号vt. 紧握；握成拳；用拳打
fit	n.突然发作,适合,痉挛,一阵adj.合适的,恰当的,健康的,,准备好的
fitting	adj.适合的,相称的,适宜的n.试穿,试衣,装配,装置
five	n. 五，五个；五美元钞票num. 五，五个adj. 五的；五个的n.
fix	vt.使固定,装置,修理,准备,安装,凝视,整理,牢记vi.固定,注视,决定,选定,确定n.困境,方位,贿赂
fixture	n. 设备；固定装置；固定于某处不大可能移动之物
flag	n.旗,标记v.标记
flame	n. 火焰；热情；光辉v. 焚烧；泛红n. (Flame)人名；(法)弗拉姆；
flank n. 腰窝，侧翼 v. 位于…的侧面
flap v. 1. 拍打，拍动，摆动 2. (鸟)振(翅) 3. 平卧，垂下 n. 1. 拍打，拍动，(鸟的)振翅 2. 下垂物，覆盖物 3. (袋)盖，(帽)边，信封口盖
flare	n.闪光,闪耀vi.闪光,突然烧起来,闪耀vt.使闪耀,使张开
flash	n.闪光,闪现,一瞬间;vi.闪光,闪现,反射,使迅速传便;vt.使闪光,反射;adj.闪光的,火速的
flask n. (实验用的)烧瓶，长颈瓶，冷(热)水瓶，保温瓶
flat	flæt/ n.一套房间；单元住宅
flatter	vt. 奉承；谄媚；使高兴
flavour	n. 香味；滋味vt. 给……调味；给……增添风趣
flaw	n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹v. 使生裂缝， 使有裂纹；使无效；使有缺陷vi. 生裂缝；变得有缺陷
flee	vi. 逃走；消失，消散vt. 逃跑，逃走；逃避
fleet	n.舰队(尤指有固定活动地区的舰队),港湾,小河adj.快速的,敏捷的, 浅的adv.浅vt.消磨vi.疾驰,飞逝,掠过
flesh	n. 肉；肉体vt. 喂肉给…；使发胖vi. 长胖n. (Flesh)人名；(英)弗莱什
flexible	adj. 灵活的；柔韧的；易弯曲的
flight	n. 飞行；班机；逃走vt. 射击；使惊飞vi. 迁徙n. (Flight)人名；
fling	vt. 掷，抛；嘲笑；使陷入；轻蔑地投射；猛动n. 掷，抛；嘲弄；急冲vi. 猛冲，急行
flip v. 1. 把…抛向空中，捻，快速地翻转(猛然移动) 2. 大怒，强烈地反应 n. 轻弹(打、抛)
float	n.漂流物,浮舟,漂浮,浮萍,彩车vi.浮动,飘浮,散播,摇摆,漂浮,动摇(计划等)付诸实行vt.使漂浮,容纳,淹没,发行,实行,用水注满
flock	n. 群；棉束（等于floc）vt. 用棉束填满vi. 聚集；成群而行n.
flood	n.洪水,水灾,(因雨)涨潮,[诗]水vt.淹没,使泛滥,注满,充满vi.被水淹,溢出,涌进,喷出,涌出
floor	n. 地板，地面；楼层；基底；议员席vt. 铺地板；打倒，击倒；（被困难）难倒
flour	n. 面粉；粉状物质vt. 撒粉于；把…磨成粉n. (Flour)人名；(法)弗卢尔
flourish	v. 繁荣，茂盛；茁壮成长，处于旺盛时期；挥舞；炫耀n. 夸张动作；出色部分；华丽辞藻；花彩字；（管弦乐）花彩号声
flow	n.流程,流动,(河水)泛滥,洋溢vi.流动,涌流,川流不息,飘扬vt.溢过, 淹没
flower	n. 花；精华；开花植物vi. 成熟，发育；开花；繁荣；旺盛vt. 使开花；用花装饰n. (Flower)人名；(英)弗劳尔
flu	n. 流感n. (Flu)人名；(法)弗吕
fluctuate	vi. 波动；涨落；动摇vt. 使波动；使动摇
fluent	adj. 流畅的，流利的；液态的；畅流的
fluid	n. 流体，液体adj. 流动的；不固定的，易变的；流畅的，优美的； 液压传动的
flush	n.奔流,晕红,激动,萌芽,活力旺盛,发烧,一手同花的五张牌,惊
flutter	n.摆动,鼓翼,烦扰vi.鼓翼,飘动,悸动,乱跳,烦扰vt.拍(翅),使焦急
fly	vi.飞；驾驶飞机；飘扬vt. 飞行；飞越；使飘扬n. 飞行；苍蝇；两翼昆虫adj. 敏捷的n. (Fly)人名；(法)弗利；(英)弗莱
foam	n. 泡沫；水沫；灭火泡沫vi. 起泡沫；吐白沫；起着泡沫流动vt. 使起泡沫；使成泡沫状物
focus	n. 焦点；中心；清晰；焦距vt. 使集中；使聚焦vi. 集中；聚焦；调节焦距n. (Focus)人名；(瑞典)福库斯
fog	n. 雾；烟雾，尘雾；迷惑vt. 使模糊；使困惑；以雾笼罩vi. 被雾笼罩；变模糊n. (Fog)人名；(丹)福
foil	n.箔,金属薄片,[建]叶形片,烘托,衬托vt.衬托,阻止,挡开,挫败,贴箔于
fold	n.折,羊栏,折痕,信徒vt.折叠,包,合拢,抱住,笼罩,调入,交迭vi.折叠起来,彻底失败
folk	n.民族；人们；亲属（复数）；民间音乐，民谣adj. 传统民间的， 民俗的；流传民间的n. （Folk）（英、匈、捷）福克（人名）
follow	vt. 跟随；遵循；追求；密切注意，注视；注意；倾听vi. 跟随；接着n. 跟随；追随
following	n.下列各项,部下,党羽adj.下列的,其次的 prep.在...之后
fond	adj. 喜欢的；温柔的；宠爱的n. (Fond)人名；(法)丰；(瑞典)丰德
food	n. 食物；养料
fool	n.傻瓜，愚人，笨蛋；（旧时宫廷的）小丑，弄臣；受骗者；奶油果泥vt. 欺骗，愚弄，戏弄vi. 开玩笑，犯傻adj. 愚蠢的；傻的
foolish	adj. 愚蠢的；傻的
foot	n. 脚；英尺；步调；末尾vi. 步行；跳舞；总计vt. 支付；给……换底n. (Foot)人名；(英)富特
football	n. 足球，橄榄球vi. 踢足球；打橄榄球
footstep	n. 脚步；脚步声；足迹
for	prep.(表示目的)为了,因为,至于,对于,适合于 conj.因为
forbid	vt. 禁止；不准；不允许；〈正式〉严禁
forbidden	adj.禁止的,严禁的 vbl.forbid的过去分词
force	n. 力量；武力；军队；魄力vt. 促使，推动；强迫；强加n. (Force) 人名；(意)福尔切；(英、法)福斯
forecast	n. （天气、财经等的）预测，预报；预想v. 预报，预测；预示；预言；进行预报，作预测
forehead	n. 额，前额
foreign	adj. 外国的；外交的；异质的；不相关的
foreigner	n. 外地人，外国人
foremost	adj. 最重要的；最先的adv. 首先；居于首位地
foresee	vt. 预见；预知
forest	n. 森林，林区；（森林似的）一丛；皇家林地，御猎场v. 植林于； 被森林覆盖n. (Forest) 福雷斯特（人名）
forever	adv. 永远；不断地；常常
forge	熔炉,铁工厂 vt. 打制,锻造,伪造
forget	vt. 忘记；忽略vi. 忘记n. (Forget)人名；(法)福尔热
forgive	vt. 原谅；免除（债务、义务等）vi. 表示原谅
fork	n. 叉；餐叉；耙vt. 叉起；使成叉状vi. 分叉；分歧n. (Fork)人名；(英、德)福克
form	n.形式，形状；形态，外形；方式；表格vt. 构成，组成；排列，组
formal	adj. 正式的；拘谨的；有条理的n. 正式的社交活动；夜礼服n.
format	n. 格式；版式；开本vt. 使格式化；规定…的格式vi. 设计版式
formation	n. 形成；构造；编队
former	adj. 从前的，前者的；前任的n. 模型，样板；起形成作用的人n.
formidable	adj. 强大的；可怕的；令人敬畏的；艰难的
formula	n. [数] 公式，准则；配方；婴儿食品
formulate	vt. 规划；用公式表示；明确地表达
fort	n. 堡垒；要塞；（美）边界贸易站vt. 设要塞保卫vi. 构筑要塞n.
forth	adv. 向前，向外；自…以后n. (Forth)人名；(德)福特；(英)福思
forthcoming	adj. 即将来临的n. 来临
fortnight	n. 两星期
fortunate	adj. 幸运的；侥幸的；吉祥的；带来幸运的
fortunately	adv. 幸运地
fortune	n. 财富；命运；运气vt. 给予财富vi. 偶然发生n. (Fortune)人名；
forty	/ n. 四十adj. 四十的；四十个的
forum	n. 论坛，讨论会；法庭；公开讨论的广场
forward	adj.早的,迅速的,前进的vt.转寄,促进,运送adv.向前地,向将来
fossil	n. 化石；僵化的事物；顽固不化的人adj. 化石的；陈腐的，守旧的
